timestamp,location,coordinates,tweet,username,all_hashtags,followers_count
2022-01-08 23:59:56+00:00,,,b'#ODX When free tests are ended this will be like a purge with the rich protecting themselves while in poorer societies allowing variants to spread #Conservatives #sleaze #corruption responsible 4 1000\xe2\x80\x99s of avoidable #covid deaths due to running out of #LateralFlowTests #omicron',b'gona_make_it',"['ODX', 'Conservatives', 'sleaze', 'corruption', 'covid', 'LateralFlowTests', 'omicron']",130
2022-01-08 23:59:13+00:00,Global nomad,,b'5th wave of lockdowns.  #HK #hongkong #omicron #covid #lockdown \xf0\x9f\x98\xa1 https://t.co/SfbhcA8dSe',b'shakkabrutha',"['HK', 'hongkong', 'omicron', 'covid', 'lockdown']",670
2022-01-08 23:58:57+00:00,"San Francisco, CA",,b'Finally negative after 10 days of isolation. 5 days makes absolutely no sense in containing the virus #covid #10days https://t.co/XaWS0waoDh',b'raymondlo84',"['covid', '10days']",124
2022-01-08 23:58:28+00:00,"Houston, Texas",,"b'#COVID #Viagra Mr. Burgundy, you have a massive erection! https://t.co/jXhR2LOomM'",b'ChiNewsBench',"['COVID', 'Viagra']",7157
2022-01-08 23:58:17+00:00,,,"b'@MysterySolvent #covid, #COVID19, a \xf0\x9f\xa4\xa7 sneeze\xe2\x80\xa6let\xe2\x80\x99s just say if he grabbed that pizza \xf0\x9f\x8d\x95 from me, I\xe2\x80\x99d add the extras!! \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\x82'",b'UgraYogagirl',"['covid', 'COVID19']",524
2022-01-08 23:58:01+00:00,"British Columbia, Canada",,"b""New research conducted by the #BCNursesUnion during the height of #COVID's third wave in 2021 reveals the full extent of the mental and physical toll the #pandemic has taken on members. Read more: https://t.co/Zuwc1YFlMW https://t.co/sbidb3GoHK""",b'BCNursesUnion',"['BCNursesUnion', 'COVID', 'pandemic']",3511
2022-01-08 23:57:26+00:00,PEI,,"b'#covid day 9 So much pain from the hollows of my cheeks,up my jaw and into my ears.  Advil hurry up and work.'",b'anna_arsenault',['covid'],123
2022-01-08 23:56:43+00:00,,,b'Event 201 #Pandemic #Covid #Lockdown https://t.co/KAptB3a9lF',b'ResearchOccult',"['Pandemic', 'Covid', 'Lockdown']",1
2022-01-08 23:56:15+00:00,,,b'Finally SM giants deleting accounts that spread #misinformation (or are they just sugar coating this because of this report in the Daily Mail?)  https://t.co/paJnNI91KH  #stopmisinformation #antivaxxers  #COVID19  #COVID  #vaccine #VaccineMandate',b'Krimskrams33',"['misinformation', 'stopmisinformation', 'antivaxxers', 'COVID19', 'COVID', 'vaccine', 'VaccineMandate']",42
2022-01-08 23:55:30+00:00,,,"b'Out of curiousity, why would you not get vaccinated #covid #booster'",b'harveygmr',"['covid', 'booster']",241
2022-01-08 23:55:22+00:00,"Austin, TX",,"b'Standing firm in my belief that we ALL need to do our best to protect children, the elderly and the high-risk from #COVID... https://t.co/saohlel5va'",b'amy_k_sanders',['COVID'],1251
2022-01-08 23:55:05+00:00,"Davao City, Davao Region",,b'Op-ed: Quit ignoring #natural #COVID #immunity  https://t.co/9IZQG1TP1N',b'DrEddyMD',"['natural', 'COVID', 'immunity']",209772
2022-01-08 23:55:01+00:00,"Vancouver, BC, Canada",,"b'#Podcast 262 is a Year In Review #podcast with 12 guest stories inc. #KFlay on the #TomMorello collaboration, #VancouverWarriors commentator Brad Challoner on collecting cards n\xe2\x80\x99 #Gretzky &amp; keynote speaker / #health expert Mandy Gill talks #COVID.\xc2\xa0  https://t.co/cRwq6upwq3 https://t.co/5an7Wp7Rg7'",b'TODDCastPodcast',"['Podcast', 'podcast', 'KFlay', 'TomMorello', 'VancouverWarriors', 'Gretzky', 'health', 'COVID']",8437
2022-01-08 23:54:57+00:00,"Davao City, Davao Region",,b'Op-ed: Quit ignoring #natural #COVID #immunity  https://t.co/6EYcwsHLic',b'DrEddyClinic',"['natural', 'COVID', 'immunity']",256262
2022-01-08 23:54:55+00:00,Right Here in Crazy Town,,"b'At the end of #covid Day 6, I\xe2\x80\x99m *feeling* much better. I\xe2\x80\x99ve run a fever off and on all day and my O2 levels are still lingering around 91/92. But, the meds seem to be helping. Unfortunately, my daughter now has a fever, body aches, and a sore throat\xe2\x80\xa6'",b'EzraHasOpinions',['covid'],3831
2022-01-08 23:54:55+00:00,Baltimore,,"b""@MikkelsenPads disparities in access to care and treatment are real. We are seeing this in hospitals but also in schools where some schools have access to testing, masks,filtration and others don't even have working heat. #COVID https://t.co/dPrIYI6pej""",b'hkangaslcswc',['COVID'],418
2022-01-08 23:54:14+00:00,"Georgia, USA",,b'Hey @Delta how does this follow any #SocialDistancing or #covid guidelines? You packed us on this bus at #LAX like sardines and a lot of us are very uncomfortable about it. https://t.co/bNqLDPvifx',b'gsucaver',"['SocialDistancing', 'covid', 'LAX']",253
2022-01-08 23:53:53+00:00,Idaho,,"b""@TheRealWebstir @KenDawgyDog @mikesatz Indeed. The previous variants gave the vaxxed a false sense of being impervious to #COVID. Won't they be surprised? I'm sick over what they're doing to Idaho's emergency health care infrastructure.""",b'Sisyphus43',['COVID'],3613
2022-01-08 23:53:46+00:00,🇦🇺,,b'\xe2\x80\x98maskment\xe2\x80\x99  - Judging how other people wear their masks in the incorrect way or not wearing one at all -   #COVID19 #mask #MaskMandates #OmicronVarient #omicron #covid',b'MickLee93',"['COVID19', 'mask', 'MaskMandates', 'OmicronVarient', 'omicron', 'covid']",70
2022-01-08 23:53:28+00:00,Australia,,"b'In the past two years, there have been announcements from the State and Fed govs that they were getting nurses and drs from overseas. Did any nurses/drs move to Aus from overseas? #auspol #Covid #nurses #WAGov #AusGov'",b'justme_bmk',"['auspol', 'Covid', 'nurses', 'WAGov', 'AusGov']",279
