timestamp,location,coordinates,tweet,username,all_hashtags,followers_count
2022-01-08 23:59:39+00:00,"Cape Town, South Africa",,"b'Since it is surplus value from the proposition King Hamlet AND JUST Romeo, we see the neon profile of prince Hamlet for the ladies in The Economist during the november, season. Not a cartoon neon. lol #Biden and Jilly https://t.co/oEcRH3szzG'",b'scene2003',['Biden'],493
2022-01-08 23:56:52+00:00,Paris,,"b'#YouTube takes down, then reinstates John Ondrasik video that criticized #Biden #Afghanistan withdrawal  .. #BigTech decides for you the information you *should* reach ..  https://t.co/16hyc4fDqL'",b'jukkaisorinne',"['YouTube', 'Biden', 'Afghanistan', 'BigTech']",2644
2022-01-08 23:53:45+00:00,Englewood,,"b""Brandon. It's time to go to the Station. Crewneck Pullover Sweatshirt gift. Free shipping in USA. https://t.co/KVDQLwu8sJ #pullover #longsleeve #crew #sweatshirts #men #gift #women #biden #brandon https://t.co/08y7eK22pV""",b'twicecom',"['pullover', 'longsleeve', 'crew', 'sweatshirts', 'men', 'gift', 'women', 'biden', 'brandon']",29319
2022-01-08 23:51:24+00:00,,,"b'If #VladimirPutin \xe2\x80\x9cis no different from a cyber thief asking for ransomware or a kidnapper holding a hostage,\xe2\x80\x9d why are we talking with him, @McFaul? Should we legitimize criminals with meetings? Who gets the next sit-down with #Biden? The Mexican cartels? https://t.co/w1c9GX8Hgu'",b'GordonGChang',"['VladimirPutin', 'Biden']",171314
2022-01-08 23:49:10+00:00,"Cape Town, South Africa",,"b'So, if you want to know what happened to show biz. you looking at an almost totally naked marble Hamlet, for David. We dealing with competition in weights, if any tries comes to rob us. The China and Japanese armed forces, not Australia, to provide safe entry supervisors. #Biden https://t.co/XYYTfkvHDI'",b'scene2003',['Biden'],493
2022-01-08 23:47:28+00:00,So. Calif. USA,,"b'@gerryflood8 @GOPChairwoman You can thank #Biden for cancelling all the efforts that were working at the border. And, then quietly reenacting them.  #FAIL  #BidenBorderCrisis'",b'PeteD_805',"['Biden', 'FAIL', 'BidenBorderCrisis']",135
2022-01-08 23:45:22+00:00,São Paulo,,b'#English - President Joe Biden enters the midterm election year of 2022 determined to address what economists call a \xe2\x80\x9csupply\xe2\x80\x9d problem \xe2\x80\x94 there aren\xe2\x80\x99t enough jobseekers or goods to meet the country\xe2\x80\x99s needs. Read more! #Biden #Jobs #Business https://t.co/Syn9eHSiAg',b'portaldaecono',"['English', 'Biden', 'Jobs', 'Business']",19
2022-01-08 23:44:17+00:00,Portugal,,"b'.@alaw202: ""#Biden has to bring the full weight of the presidency to bear on #JoeManchin to get his vote to get #BuildBackBetter across the finish line."" https://t.co/AFnjivfYdu #UnitedStates'",b'jftaveira1993',"['Biden', 'JoeManchin', 'BuildBackBetter', 'UnitedStates']",2076
2022-01-08 23:42:06+00:00,AZ08,,"b'Anemic #Jobs Report\xe2\x80\xbc\xef\xb8\x8f I can only hope that when people that have stopped working \xe2\x80\x9cbecause #Biden is paying them to stay home\xe2\x80\x9d try to come back, those JOBS are \xe2\x80\x9cnot there\xe2\x80\x9d for these lazy SOBs. Hopefully, they have been filled by needy ambitious people and TS\xf0\x9f\x96\x95\xf0\x9f\x8f\xbbto the losers\xf0\x9f\x98\xa1 https://t.co/D0gjfNxI5F'",b'RowseTerry',"['Jobs', 'Biden']",3782
2022-01-08 23:39:49+00:00,"Cape Town, South Africa",,"b'It is CRITICALLY IMPORTANT that we do NOT let the enemy the capitalist IN WHATEVER, GUISE we talking about, bc they and regret to have to say the ANC is the DA in the past. Indeed, unforgiveable from ALL THE PEOPLE, the black, who brought the DA to max fame and min glory. #Biden'",b'scene2003',['Biden'],493
2022-01-08 23:34:39+00:00,Los Angeles,,b'A highlight of #Biden\xe2\x80\x99s speech https://t.co/bUuN3ipBAj',b'AnnBrenoff',['Biden'],5891
2022-01-08 23:34:34+00:00,,,"b'@ElectionWiz true irony would be, #SCOTUS RULES, #BidenMandates  are #MutePoint  until they determine if  #Biden has legitimate standing to #ConstitutionalAuthority before AUDIT IS COMPLETED   #OrangeAndFreeAmerica !   #InGODWeTrust   #Justice was made weak ,  To Keep #ThePeople Strong !!!'",b'fredgoodfood',"['SCOTUS', 'BidenMandates', 'MutePoint', 'Biden', 'ConstitutionalAuthority', 'OrangeAndFreeAmerica', 'InGODWeTrust', 'Justice', 'ThePeople']",253
2022-01-08 23:34:08+00:00,"Arizona, USA",,b'PINK GUY - STFU https://t.co/Ds3K8u0V0c via @YouTube  This goes through my head every time I hear #Biden or #Kamala speak',b'AbducteesT',"['Biden', 'Kamala']",1733
2022-01-08 23:32:02+00:00,"Montreal, Canada",,"b""Biden is finally 'in the arena' on the fight of our time  #BIDEN  https://t.co/0S77dNXVmP""",b'taypeinternat',['BIDEN'],3970
2022-01-08 23:31:51+00:00,"Montreal, Canada",,"b""'Being tough, being a fighter': Obama and Biden salute Harry Reid at Las Vegas funeral  #BIDEN #DEMOCRATIC  https://t.co/usJYGsvZzp""",b'taypeinternat',"['BIDEN', 'DEMOCRATIC']",3970
