timestamp,location,coordinates,tweet,username,all_hashtags,followers_count
2022-01-08 23:50:23+00:00,,,b'The next few weeks will tell us if Biden and Garland speeches were just a quick blow job to keep people believin\xe2\x80\x99 or whether actual indictments/arrests are finally here. If they think they can go to mid terms this way they will lose this democracy. #DNC #POTUS',b'RonBorsh',"['DNC', 'POTUS']",5360
2022-01-08 23:48:57+00:00,,,"b'@bloodraven43 @POTUS he\xe2\x80\x99s isn\xe2\x80\x99t even in charge, early dementia, and rather than push socialism why don\xe2\x80\x99t you get a job. #bloodraven43 #POTUS'",b'Mark694758701',"['bloodraven43', 'POTUS']",1
2022-01-08 23:48:42+00:00,,,"b'\xe2\x80\x9cI hope I shall possess firmness and virtue enough to maintain what I consider the most enviable of all titles, the character of an honest man.\xe2\x80\x9d - George Washington \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #POTUS \xf0\x9f\x91\x8d @AndreaThome https://t.co/zrvZd9QSzi'",b'PrezWisdom',['POTUS'],4387
2022-01-08 23:48:02+00:00,,,"b'@BaseballQuotes1 \xe2\x80\x9cI hope I shall possess firmness and virtue enough to maintain what I consider the most enviable of all titles, the character of an honest man.\xe2\x80\x9d - George Washington \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #POTUS \xf0\x9f\x91\x8d'",b'PrezWisdom',['POTUS'],4387
2022-01-08 23:30:21+00:00,,,"b'I WANT THEM FIRED AMIR ALI, GUY BENSON, WHIT JOHNSON, WENDY FROM JCPENNY SALON,   WILLIAM LA JEUNESSE, BILL MELUGIN, LUCAS TOMLINSON,ALEXANDRI hoff, alicia acuna, lisa bopothe, arthel neville, eric shawn, mo brooks, #potus #dnc #abc #cbsnews @foxnews  #nbcnews #abc #cnn @msnbc'",b'AlexRastegar63',"['potus', 'dnc', 'abc', 'cbsnews', 'nbcnews', 'abc', 'cnn']",789
2022-01-08 23:18:23+00:00,United States,,b'If any one had any ounce of doubt in our Government and #POTUS \xe2\x80\xa6they definitely do now after yesterday\xe2\x80\x99s mandate hearing. I had to turn it off because I couldn\xe2\x80\x99t believe the words that were coming out of some of our #SCOTUS mouths. I was shocked and disappointed. #Kagan #Breyer',b'CompelledVision',"['POTUS', 'SCOTUS', 'Kagan', 'Breyer']",38
2022-01-08 23:17:36+00:00,DC,,"b'@RBReich There are people who would rather have a fascist America (where right-wingers are allowed to kill #BLM protesters without consequence) than a free America (where liberals who believe in a progressive tax policy, abortion rights, and the theory of evolution can become #POTUS).'",b'konpundro',"['BLM', 'POTUS']",110
2022-01-08 23:16:27+00:00,,,"b'""...said Washington should analyze its own track record of interventions in countries such as Vietnam and Iraq.""   #Russia #Putin #Kazakhstan #JoeBiden #POTUS  https://t.co/QOaBbWkj8U'",b'patriotX_6',"['Russia', 'Putin', 'Kazakhstan', 'JoeBiden', 'POTUS']",102
2022-01-08 23:13:01+00:00,,,"b'""...51 Americans had been targeted for what it called ""terrorism"" and human rights violations. The step lets Iranian authorities seize any assets they hold in Iran, but the apparent absence of such assets means it will likely be symbolic.""   #Iran #POTUS  https://t.co/ixANP5iv2k'",b'patriotX_6',"['Iran', 'POTUS']",102
2022-01-08 23:09:12+00:00,World Wide,,"b""@JoeBiden is an honorable man, father, grandfather and president. Former president #AgentOrange couldn't walk an inch in Joe's shoes. Trump's bone spurs helped him dodge the military. #PresidentJoeBiden #POTUS https://t.co/dtPaW7f3Vm""",b'Beatmizer',"['AgentOrange', 'PresidentJoeBiden', 'POTUS']",2062
2022-01-08 23:01:56+00:00,unighted staytes uv amareika,,b'With all due respect Mr. President #potus you need to reopen pipeline and stop being vindictive towards Trump and his voters. This drastically hurts American families which YOU swore you were trying to help. Thank you for your time. God bless.  #americafirst #family #GasPrice',b'cheech7k',"['potus', 'americafirst', 'family', 'GasPrice']",21
2022-01-08 22:51:52+00:00,"Baltimore, MD USA",,b'#JoeBidensAmerica #Trump #WhiteHouse #Congress #SupremeCourt #USArmy #POTUS #USA #political #Treason  #ForeignInterference #Sabotage #Diversion #Espionage  VATICAN - FOREIGN STATE  The Destruction of Jerusalem Great Controversy (1911) E.G.W. https://t.co/hS59sEHsuz https://t.co/A1FcVsSE0l https://t.co/Mb0o7l8L3O',b'TimeIsFinishing',"['JoeBidensAmerica', 'Trump', 'WhiteHouse', 'Congress', 'SupremeCourt', 'USArmy', 'POTUS', 'USA', 'political', 'Treason', 'ForeignInterference', 'Sabotage', 'Diversion', 'Espionage']",2209
2022-01-08 22:49:31+00:00,"Baltimore, MD USA",,b'#JoeBidensAmerica #Trump #WhiteHouse #Congress #SupremeCourt #USArmy #POTUS #USA #political #Treason  #ForeignInterference #Sabotage #Diversion #Espionage  VATICAN - FOREIGN STATE  The Destruction of Jerusalem Great Controversy (1911) E.G.W. https://t.co/hS59sEHsuz https://t.co/A1FcVsSE0l https://t.co/kxpe1mUpf2',b'TimeIsFinishing',"['JoeBidensAmerica', 'Trump', 'WhiteHouse', 'Congress', 'SupremeCourt', 'USArmy', 'POTUS', 'USA', 'political', 'Treason', 'ForeignInterference', 'Sabotage', 'Diversion', 'Espionage']",2209
2022-01-08 22:48:40+00:00,,,"b""Remember, Democrats unhappy with President Biden: He is not a wanna-be dictator, so he doesn't think the bicameral legislature is his personal legislature, he doesn't think the U.S Supreme Court is his personal court, and doesn't think the DOJ is his personal DOJ. #POTUS @POTUS""",b'EfnerDaniel',['POTUS'],1
2022-01-08 22:47:54+00:00,"Baltimore, MD USA",,b'#JoeBidensAmerica #Trump #WhiteHouse #Congress #SupremeCourt #USArmy #POTUS #USA #political #Treason  #ForeignInterference #Sabotage #Diversion #Espionage  VATICAN - FOREIGN STATE  The Destruction of Jerusalem Great Controversy (1911) E.G.W. https://t.co/hS59sEHsuz https://t.co/A1FcVsSE0l https://t.co/eIluKP5OlN',b'TimeIsFinishing',"['JoeBidensAmerica', 'Trump', 'WhiteHouse', 'Congress', 'SupremeCourt', 'USArmy', 'POTUS', 'USA', 'political', 'Treason', 'ForeignInterference', 'Sabotage', 'Diversion', 'Espionage']",2209
2022-01-08 22:46:38+00:00,"Baltimore, MD USA",,b'#JoeBidensAmerica #Trump #WhiteHouse #Congress #SupremeCourt #USArmy #POTUS #USA #political #Treason  #ForeignInterference #Sabotage #Diversion #Espionage  VATICAN - FOREIGN STATE  The Destruction of Jerusalem Great Controversy (1911) E.G.W. https://t.co/hS59sEHsuz https://t.co/A1FcVsSE0l https://t.co/n5g3bY7JmT',b'TimeIsFinishing',"['JoeBidensAmerica', 'Trump', 'WhiteHouse', 'Congress', 'SupremeCourt', 'USArmy', 'POTUS', 'USA', 'political', 'Treason', 'ForeignInterference', 'Sabotage', 'Diversion', 'Espionage']",2209
2022-01-08 22:45:32+00:00,"Baltimore, MD USA",,b'#JoeBidensAmerica #Trump #WhiteHouse #Congress #SupremeCourt #USArmy #POTUS #USA #political #Treason  #ForeignInterference #Sabotage #Diversion #Espionage  VATICAN - FOREIGN STATE  The Destruction of Jerusalem Great Controversy (1911) E.G.W. https://t.co/hS59sEHsuz https://t.co/A1FcVsSE0l https://t.co/GvOlCClWJv',b'TimeIsFinishing',"['JoeBidensAmerica', 'Trump', 'WhiteHouse', 'Congress', 'SupremeCourt', 'USArmy', 'POTUS', 'USA', 'political', 'Treason', 'ForeignInterference', 'Sabotage', 'Diversion', 'Espionage']",2209
2022-01-08 22:44:22+00:00,,,b'#eugenics #CDC @CDCDirector @CDCgov @POTUS #POTUS but hey it isn\xe2\x80\x99t eugenics it\xe2\x80\x99s the unknown variables &amp; lack of accessibility to necessities right? Am I right? https://t.co/wKYC0KVJcq',b'kaiorbai',"['eugenics', 'CDC', 'POTUS']",82
2022-01-08 22:43:18+00:00,"Baltimore, MD USA",,b'#JoeBidensAmerica #Trump #WhiteHouse #Congress #SupremeCourt #USArmy #POTUS #USA #political #Treason  #ForeignInterference #Sabotage #Diversion #Espionage  VATICAN - FOREIGN STATE  The Destruction of Jerusalem Great Controversy (1911) E.G.W. https://t.co/hS59sEHsuz https://t.co/A1FcVsSE0l https://t.co/a6M5irnCnJ',b'TimeIsFinishing',"['JoeBidensAmerica', 'Trump', 'WhiteHouse', 'Congress', 'SupremeCourt', 'USArmy', 'POTUS', 'USA', 'political', 'Treason', 'ForeignInterference', 'Sabotage', 'Diversion', 'Espionage']",2209
2022-01-08 22:43:10+00:00,"Las Vegas, NV  BWO Detroit, MI",,"b""I'm actually surprised @tedcruz didn't blame his kids again...\xf0\x9f\x99\x84  what's hilarious is #TedCruz somehow still thinks he can still achieve his LIFELONG goal... to be #POTUS! \xf0\x9f\xa4\x93\xf0\x9f\x98\x81\xf0\x9f\x98\x86 it's all slipping away...  the dream is DEAD he just doesn't know it yet... https://t.co/9d0DXvMour https://t.co/Eg3gnNqfk3""",b'WILLDYE4U',"['TedCruz', 'POTUS']",2951
