timestamp,location,coordinates,tweet,username,all_hashtags,followers_count
2022-01-14 23:59:54+00:00,,,"b""The Tale Of Two Presidents On #DarrenBeattie As He EXPOSES The TRUTH That Ruins The #Democrats' Narrative Of January 6th ...  #Trump Commends @DarrenJBeattie On January 9th #Biden Fires @DarrenJBeattie On January 14th https://t.co/vvVuoS612Z""",b'Kermit_Progress',"['DarrenBeattie', 'Democrats', 'Trump', 'Biden']",9186
2022-01-14 23:59:37+00:00,Kansas City Chiefs Kingdom,,"b'#WorstPresidentEver - easy answer for me - TFG, DFT, #Trump is by far the worst president ever!'",b'HeyIamHereNow',"['WorstPresidentEver', 'Trump']",923
2022-01-14 23:59:10+00:00,Earth ,,"b""#HerschelWalker LOL LOL LOL LOL If you are an abuser of women, don't have a truthful fact in your RAP, are completely uninformed and aim to misinform, you are perfect criteria to be on the #Trump train. https://t.co/78LPgkjTjt""",b'zoe92902994',"['HerschelWalker', 'Trump']",126
2022-01-14 23:59:02+00:00,new york city,,"b""Via @RawStory: 'Powerful evidence': Former prosecutor says McCarthy interview suggests admission of guilt from Trump https://t.co/h7F5701tT7 | #politics #trump #corruption""",b'thejoshuablog',"['politics', 'trump', 'corruption']",6410
2022-01-14 23:59:02+00:00,"Kreuzlingen, Switzerland",,b'@NPRinskeep @NPR @DomenicoNPR this guy is so sick! please spare us from having someone like him in any leading position or by no means as President of the united states. #Trump #TrumpIsALaughingStock',b'4ewald',"['Trump', 'TrumpIsALaughingStock']",203
2022-01-14 23:57:47+00:00,GLOBAL ✈,,"b""The Tale Of Two Presidents On #DarrenBeattie As He EXPOSES The TRUTH That Ruins The #Democrats' Narrative Of January 6th ...  #Trump Commends @DarrenJBeattie On January 9th #Biden Fires @DarrenJBeattie On January 14th https://t.co/lmKxXI2iWI""",b'ChoiceNewsNet',"['DarrenBeattie', 'Democrats', 'Trump', 'Biden']",4235
2022-01-14 23:57:45+00:00,,,b'Random Trump https://t.co/i17X56zBrf - #randomtrump #trump #donaldtrump #giphy #gif #gifs https://t.co/HzkPy9u3lI',b'randomtrump1',"['randomtrump', 'trump', 'donaldtrump', 'giphy', 'gif', 'gifs']",86
2022-01-14 23:56:46+00:00,USA,,"b""McCarthy knows #trump was #WorstPresidentEver , he's just too much of a coward to admit it ~ SAD  @LeaderMcConnell whitewashes  #January6thInsurrection   Mitch, Americans love DEMOCRACY but we hate #TerroristOrganization like #GOPDomesticTerrorists  #TheyAreTerrorists https://t.co/OVKUaO4ebm""",b'Atticus06100429',"['trump', 'WorstPresidentEver', 'January6thInsurrection', 'TerroristOrganization', 'GOPDomesticTerrorists', 'TheyAreTerrorists']",390
2022-01-14 23:53:29+00:00,United States,,"b'While #Biden has basement 33% approval, #Trump has 70% of Republicans wanting him to run again.  @NBCNews @KatyTurNBC says ""but that\'s down"". \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 #Trump2024 #TrumpRestoration2024'",b'marc_v27',"['Biden', 'Trump', 'Trump2024', 'TrumpRestoration2024']",181
2022-01-14 23:52:50+00:00,,,b'Random Trump https://t.co/FMNmGaRLDP - #randomtrump #trump #donaldtrump #giphy #gif #gifs https://t.co/2KCQEiZTxb',b'randomtrump1',"['randomtrump', 'trump', 'donaldtrump', 'giphy', 'gif', 'gifs']",86
2022-01-14 23:52:05+00:00,New York City,,b'@CawthornforNC Tough sentences for #Trump #Insurrection thugs is a bad sign for #FormerGuy court cases which may be coming up soon in DC and GA on incitement to riot and election fraud. https://t.co/akc0S7VjUA',b'JackPolakoff',"['Trump', 'Insurrection', 'FormerGuy']",6883
2022-01-14 23:51:37+00:00,,,"b'Thanks @PremierScottMoe @jkenney #Trump , et al. https://t.co/t1y19rdbsX'",b'ArkhamPolitics',['Trump'],104
2022-01-14 23:51:23+00:00,"Los Angeles, California, USA",,"b""#FredFromAlabama Every bit as stupid as all the fools who believe #Trump's lie that the election was stolen.  #Georgia WON. We all saw it. Get the hell over it and stop being a dick.""",b'VanEpperson',"['FredFromAlabama', 'Trump', 'Georgia']",97
2022-01-14 23:51:19+00:00,,,"b'@WILLDYE4U Remember when #trump begged the Mexican pres to say Mexico would pay for wall, the Ukraine pres to say he was ""investigating"" Biden, suburban women to vote for him, the DOJ to claim election fraud, etc. He\'s a professional beggar!'",b'jwatkins7428',['trump'],17
2022-01-14 23:51:10+00:00,USA,,"b'#oathkeepers #proudbous #MASA #Trump #COVID19 #Djokovic #FridayFeeling #Metaverse #2A #NFT #OpenSeaNFT #Wordle   Dear Radical White #America, You are not the only ones who own guns. Stop acting like it. Sincerely, Everyone else who lives in America.'",b'GeorgeFloyd_com',"['oathkeepers', 'proudbous', 'MASA', 'Trump', 'COVID19', 'Djokovic', 'FridayFeeling', 'Metaverse', '2A', 'NFT', 'OpenSeaNFT', 'Wordle', 'America']",1897
2022-01-14 23:50:46+00:00,SangreDeChristosMtns/Taos/NM,,b'@duty2warn ~ #tRump left a huge linage  of characters who are known to be an extreme threat to #america\xe2\x80\x99s future\xe2\x80\xa6   &amp; many of them were involved in organizing the #J6 #COUP.',b'papadas_r',"['tRump', 'america', 'J6', 'COUP']",3099
2022-01-14 23:50:39+00:00,"West Coast, USA",,b'Pro-Trump Media Is in Meltdown Over New Oath Keeper Indictments - VICE and the heat is just starting cooking for these pro-tRump #maga #magats and #whitenationalists as the \xe2\x81\xa6@DOJNatSec\xe2\x81\xa9 starts eating its way up the hierarchy #trump \xe2\x81\xa6\xe2\x81\xa6@GOPLeader https://t.co/gWfW1arI3T',b'SterlingMediaNW',"['maga', 'magats', 'whitenationalists', 'trump']",469
2022-01-14 23:49:32+00:00,,,b'@AngelaBelcamino @POTUS All the Biden worshippers in his posts crack me up. They really hang on to his every word like it\xe2\x80\x99s the gospel. #politics #america #american #americans #republicans #trump #democrats @cnn @msnbc #lgbt #lgbtq',b'diariesofjessie',"['politics', 'america', 'american', 'americans', 'republicans', 'trump', 'democrats', 'lgbt', 'lgbtq']",20
2022-01-14 23:49:11+00:00,,,"b'#Djokovic is now just a sick #Joker, a #COVIDidiot, an #AntiVax fool. He should be banned from tennis for the entire year - as in, #NoSlamsForYou, #NoVaxJoCovid. DISGRACEFUL, the #Trump of #tennis. SHAME on you, #Novak. Australians and all concerned now shouting: #DjokovicGoHome.'",b'IAMBMRD',"['Djokovic', 'Joker', 'COVIDidiot', 'AntiVax', 'NoSlamsForYou', 'NoVaxJoCovid', 'Trump', 'tennis', 'Novak', 'DjokovicGoHome']",58
2022-01-14 23:49:06+00:00,FLORIDA,,"b""Y'ALL LIKE MY NEW LOOK??? #MAGA #MAGAts #Trump #Trump2024 #LetsGoBrandon #LGBTQ #letsgetbidentoquit #TRUMP2020 https://t.co/8pcIJkHv0a""",b'MagaTimmy',"['MAGA', 'MAGAts', 'Trump', 'Trump2024', 'LetsGoBrandon', 'LGBTQ', 'letsgetbidentoquit', 'TRUMP2020']",490
