timestamp,location,tweet_text,username,all_hashtags,followers_count
2021-12-18 10:50:01+00:00,,b'$7.99 Standup Comedy career launching 5 star workbook- Gift your funny friend or family member this unique gift! Purchase Link: https://t.co/rm1x1x5lvO C https://t.co/dyO7DW6hA5 #washingtondc #az #phoenix #nj #texas #nurses #doctors #walterreed #va #vahospital #surgery #covid',b'MilwaukeeHotBuy',"['washingtondc', 'az', 'phoenix', 'nj', 'texas', 'nurses', 'doctors', 'walterreed', 'va', 'vahospital', 'surgery', 'covid']",2039
2021-12-18 10:50:00+00:00,"Kent, UK",b'NEWS: The EFL say 25% of players are not vaccinated against #Covid #kmfmnews https://t.co/XGk3aNmFsn',b'kmfmnews',"['Covid', 'kmfmnews']",20760
2021-12-18 10:48:18+00:00,Česká republika,b'#Covid: Action needed to limit hospital admissions - Sage scientists https://t.co/m7l5F0Efkb',b'zpravy_24',['Covid'],23
2021-12-18 10:48:12+00:00,,"b""Meanwhile in #Ireland #covid Virus is very dangerous after 8pm. Before that it's less dangerous. https://t.co/PKQy47mJ84 https://t.co/4ka7uAAXu6""",b'Ettel_wen',"['Ireland', 'covid']",337
2021-12-18 10:48:00+00:00,"London, Paris",b'Triple vaccinated \xf0\x9f\xa6\xb8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x92\xaa  Feeling the power growing in my veins \xf0\x9f\xa4\xaa\xf0\x9f\x99\x88  #GetVaccinated #vaccinated #Covid',b'AudreyLebrellec',"['GetVaccinated', 'vaccinated', 'Covid']",6669
2021-12-18 10:47:08+00:00,,"b""LA's also playing the #OmicronDeltaBlues: Los Angeles County is seeing the highest number of daily #COVID-19 cases in four months... (ABC7) https://t.co/IFxaQym4bp""",b'steveashleyplus',"['OmicronDeltaBlues', 'COVID']",1517
2021-12-18 10:47:03+00:00,An Orchard SELondon,"b'#Omicron #Covid I\xe2\x80\x99ve just been told by #TestandTrace that if it is the #Omicron variant that they will contact you twice. At present my notes do not have omicron on them. Also it\xe2\x80\x99s a 14 day infection, so I could have picked it up at work or when I went to hospital.'",b'TubbyBats',"['Omicron', 'Covid', 'TestandTrace', 'Omicron']",719
2021-12-18 10:46:59+00:00,,b'It is so unfortunate that this is going to happen as we head into the third winter of #COVID however we must think about what these rapidly rising cases not just do to patients but to our healthcare systems and staff. https://t.co/ZVFUVkf0OU',b'KrutikaKuppalli',['COVID'],31174
2021-12-18 10:46:57+00:00,"Co.Leitrim, Ireland",b'Paddy Power in his D4 jumper \xe2\x80\x9cI\xe2\x80\x99ve had more vaccines than nights out\xe2\x80\x9d\xc2\xa0#COVID-19 https://t.co/t9bCO6HUD5',b'drinkawaste',['COVID'],495
2021-12-18 10:45:24+00:00,"Stanbury, Yorkshire",b'A bit like all the #fear and hysteria being whipped up about #covid and #vacinnepassports. \xf0\x9f\x98\x8f https://t.co/2bwEBgf7Sy',b'DavidR_B',"['fear', 'covid', 'vacinnepassports']",2403
2021-12-18 10:45:15+00:00,,"b'No sh@t!! #covid is #seasonal, who could have know??? #srcsm https://t.co/MS8zcLCheq'",b'Ettel_wen',"['covid', 'seasonal', 'srcsm']",337
2021-12-18 10:45:10+00:00,Cardiff,b'Give us your best #covid #Christmas carols:  Omicron all ye faithful Oh lateral flow of Bethlehem  #AnotherCovidChristmas',b'RoathChamber',"['covid', 'Christmas', 'AnotherCovidChristmas']",151
2021-12-18 10:45:01+00:00,"Auckland Park, JHB, RSA",b'Save lives. Do not drink and drive.   #SafeFestive #COVID-19 https://t.co/9muSypvM9k',b'SABCPortal',"['SafeFestive', 'COVID']",42166
