,timestamp,location,tweet,username,all_hashtags,followers_count
0,2022-01-08 10:01:54+00:00,Amphoe Mueang Chiang Mai,"b""the best days in american history will always be remembered as joe biden\xe2\x80\x99s inauguration day, as well as the day tfg was handily defeated by, you guessed it, president biden"" fixed  btw, aren\'t you the fake law firm guy who ratted out friend to the feds?    ",b'ChiangmaiWu',[],1906
1,2022-01-08 10:01:40+00:00,London,"b"" biden's administration arrests man for rape committed 20 years ago",b'WelshBrendan2',[],443
2,2022-01-08 10:01:34+00:00,,"b"" sure biden, and congress, and, that's a big part of ufo news watching",b'BKatakis',[],382
3,2022-01-08 10:01:33+00:00,,b'the 7 worst lies told by liberal scotus justices at the biden vaccine mandate hearing ,b'Uncommo17621849',[],121
4,2022-01-08 10:01:17+00:00,"Denver, CO","b'urging victims of the marshall fire to \xe2\x80\x9chang on to one another,\xe2\x80\x9d president joe biden on friday told devastated families in boulder county that the federal government \xe2\x80\x9cis not going to go away\xe2\x80\x9d when it comes to helping thousands of displaced families. ",b'denverpost',[],457855
5,2022-01-08 10:01:15+00:00,"Helsingborg, Skåne Sweden",b'\xe2\x80\x98hideous coward\xe2\x80\x99: critics blast \xe2\x80\x98disgusting fraud\xe2\x80\x99 lindsey graham for accusing biden of politicizing the insurrection   leningradlindsey lindseygrahamresign lindseygraham lindseygrahamtraitor russianasset lindseygrahamgay arresttrumpnow   ,b'Gjallarhornet',"['LeningradLindsey', 'LindseyGrahamResign', 'LindseyGraham', 'LindseyGrahamTraitor', 'RussianAsset', 'LindseyGrahamGay', 'ArrestTrumpNow']",8977
6,2022-01-08 10:01:14+00:00,"Melbourne, Victoria","b'scuse me missus biden, can joe come out and play? ",b'flyafountain',[],272
7,2022-01-08 10:01:13+00:00,"America, West Indies",b_covfefe do the ones that say \xe2\x80\x9cf**k joe biden\xe2\x80\x9d count?',b'JacksonFarnswo2',[],346
8,2022-01-08 10:01:10+00:00,"California, USA","bso trump let him roam free for 4 years and biden caught him, thanks for pointing that out.'",b'awishisaprayer1',[],17
9,2022-01-08 10:01:09+00:00,Michigan USA ,b_biden are you familiar with the dunning kruger effect? it explains a lot\xe2\x80\xa6',b'WifeInTheBurbs',[],2586
