timestamp,location,tweet,username,all_hashtags,followers_count
2022-01-08 10:01:54+00:00,Amphoe Mueang Chiang Mai,"b'@RyanAFournier ""The best days in American history will always be remembered as Joe Biden\xe2\x80\x99s Inauguration Day, as well as the day TFG was handily defeated by, you guessed it, President Biden"" FIXED  BTW, aren\'t you the fake law firm guy who ratted out friend to the feds?   https://t.co/oeZsfiNCcC https://t.co/H9aJ0f7NE5'",b'ChiangmaiWu',[],1906
2022-01-08 10:01:40+00:00,London,"b""@GOP Biden's administration arrests man for rape committed 20 years ago. GOP conclusion : Border policy is in Crisis. This comes from a party that fermented a constitutional crisis, and threatens the same in 2024. Vigilance and transparency is needed to secure a now fragile democracy.""",b'WelshBrendan2',[],443
2022-01-08 10:01:34+00:00,,"b""@Borders750 Sure Biden, and Congress, and, that's a big part of UFO news watching.  Take up the guitar for the waits.""",b'BKatakis',[],382
2022-01-08 10:01:33+00:00,,b'The 7 Worst Lies Told by Liberal SCOTUS Justices at the Biden Vaccine Mandate Hearing https://t.co/nZE7ovopSm',b'Uncommo17621849',[],121
2022-01-08 10:01:17+00:00,"Denver, CO","b'Urging victims of the Marshall fire to \xe2\x80\x9chang on to one another,\xe2\x80\x9d President Joe Biden on Friday told devastated families in Boulder County that the federal government \xe2\x80\x9cis not going to go away\xe2\x80\x9d when it comes to helping thousands of displaced families. https://t.co/NZaNQr0hvC'",b'denverpost',[],457855
2022-01-08 10:01:15+00:00,"Helsingborg, Skåne Sweden",b'\xe2\x80\x98Hideous Coward\xe2\x80\x99: Critics Blast \xe2\x80\x98Disgusting Fraud\xe2\x80\x99 Lindsey Graham for Accusing Biden of Politicizing the Insurrection   #LeningradLindsey #LindseyGrahamResign #LindseyGraham #LindseyGrahamTraitor #RussianAsset #LindseyGrahamGay #ArrestTrumpNow   https://t.co/57b6N2kFkC',b'Gjallarhornet',"['LeningradLindsey', 'LindseyGrahamResign', 'LindseyGraham', 'LindseyGrahamTraitor', 'RussianAsset', 'LindseyGrahamGay', 'ArrestTrumpNow']",8977
2022-01-08 10:01:14+00:00,"Melbourne, Victoria","b'Scuse me missus Biden, can Joe come out and play? https://t.co/dWaxiIMhwK'",b'flyafountain',[],272
2022-01-08 10:01:13+00:00,"America, West Indies",b'@JVR926 @Joseph_Covfefe Do the ones that say \xe2\x80\x9cF**k Joe Biden\xe2\x80\x9d count?',b'JacksonFarnswo2',[],346
2022-01-08 10:01:10+00:00,"California, USA","b'@GOP So Trump let him roam free for 4 years and Biden caught him, thanks for pointing that out.'",b'awishisaprayer1',[],17
2022-01-08 10:01:09+00:00,Michigan USA ,b'@Cyberskout99 @fake_biden Are you familiar with the Dunning Kruger Effect? It explains a LOT\xe2\x80\xa6',b'WifeInTheBurbs',[],2586
2022-01-08 10:01:07+00:00,London,"b'Sadly doubt Biden will do this until he is reassured that Britain abides by the treaties it signs and in particular, the Northern Ireland Protocol - we have all the cards \xf0\x9f\x99\x83\xf0\x9f\x99\x83\xf0\x9f\x99\x83 https://t.co/xURya0Nhe1'",b'Manuel_TSSA',[],7813
2022-01-08 10:01:05+00:00,United Kingdom,"b'Ignoring Donald Trump doesn\xe2\x80\x99t work, Joe Biden chases \xe2\x80\x98a defeated former President\xe2\x80\x99 https://t.co/PHVDGkcAuH'",b'TittlePress',[],114
2022-01-08 10:01:00+00:00,USA,b'#Florida Governor @GovRonDeSantis asked the Biden administration to send more monoclonal antibody treatments against COVID-19. https://t.co/STH98RVyLc',b'ElAmerican_',['Florida'],47000
2022-01-08 10:00:58+00:00,UK,"b'Moar! Moar! We\xe2\x80\x99re leftists, we want MOAR TRUMP https://t.co/Vi2aHKNX9a'",b'moveincircles',[],18719
2022-01-08 10:00:58+00:00,,b'@POTUS Wind ya neck in biden no one cares about your ballshit lol who really runs the world ?',b'Shane46699203',[],13
2022-01-08 10:00:53+00:00,,"b""The Trump menace is darker than ever \xe2\x80\x93 and he's snapping at Biden\xe2\x80\x99s heels  | Jonathan Freedland https://t.co/yXkRx2qzaf""",b'PaulRBear4',[],113
2022-01-08 10:00:50+00:00,Cranendonck,b'Why did the Biden Regime send a $1400 COVID relief payment to convicted Boston Marathon Muslim bomber Dzhokhar Tsarnaev? https://t.co/QQib1OrFEn',b'RuttenWillem',[],3024
2022-01-08 10:00:27+00:00,"Pennsylvania, USA",b'@Desert_yoSemite @GOP Spelled biden wrong',b'bolanddc',[],8
2022-01-08 10:00:15+00:00,,"b'@washingtonpost Challenge it then, but don\xe2\x80\x99t ever complain that Biden wasn\xe2\x80\x99t doing anything to stop the virus.'",b'nanahawd',[],7
