timestamp,location,tweet,username,all_hashtags,followers_count
2022-01-08 10:32:28+00:00,habitable exoplanet,b'Trump shooting up the Iran military base &amp; tweeting the American flag was box office stuff.',b'custardactivist',[],61
2022-01-08 10:32:26+00:00,South London,"b'@piersmorgan Lol chatting about the racism this legend went through, conveniently forgetting his support for Trump and his silence about the fake birther conspiracy. Poitier would have little time for you or journalists like you! #MurdochGutterMedia'",b'19xLFC',['MurdochGutterMedia'],55
2022-01-08 10:32:25+00:00,"Grand Forks, ND","b""@Eddiebz1 @ReportsDaNews Trump's crimes were and have been public knowledge for years. In his mind he's untouchable, so he's done things in broad daylight. His comment that he could shoot and kill anyone in Broad daylight in New york and get away with it is proof of his insanity.""",b'Jeffrey08365415',[],7
2022-01-08 10:32:24+00:00,"Cincinnati, OH",b'@maddow Trump mob forcing &amp; blackmailing people into resigning so he can place weak &amp; loyal puppets instead of them ! Like a bad celebrity Apprentice episode!',b'azardey3',[],2109
2022-01-08 10:32:21+00:00,"baldamore, md",b'@PReligions @austinchanning I think trump stirred up some shit &amp; ppl some showed their true colors.  You know what else happened during Obama?  Cell phones with cameras &amp; social media.',b'thcrzyone',[],368
2022-01-08 10:32:17+00:00,"Tamworth, England",b'please Lord I know I should not call you Lord for I did not obey you but I am trying my best to comfort you I am a good person Jehovah through Jesus Christ please forgive me in GOD Donald Trump please take me in the rapture I pray in Jesus Christs name Amen',b'MegaBlasting',[],70
2022-01-08 10:32:17+00:00,,"b""@Twiligh21059926 @peterinSilico They don't need trump, or anyone else, to put these people in power so they can expose themselves, they are doing that anyway. We have seen here in the UK, with both people and institutions, they've revealed themselves and their nature without any outside help.""",b'LutherBurgsvik',[],2487
2022-01-08 10:32:13+00:00,Lubbock - Abilene District #19,b'I am so pissed that Donald Trump discovered the vaccination! &lt;Best upset Sarcasm Voice&gt;',b'jeighford',[],5007
2022-01-08 10:32:12+00:00,,b'@nathaliejacoby1 Yes I did. I wanted Bernie but I knew how dangerous Trump was.',b'trriscool',[],168
2022-01-08 10:32:11+00:00,,b'@IngrameThomas SNPprivide as much comedy entertainment as Trump. https://t.co/YuU746X5sr',b'LizabethAnne32',[],800
