timestamp,location,tweet,username,all_hashtags,followers_count
2022-02-19 11:02:31+00:00,,"b'@vivekrana1057 Hello, we request you to write back to us on cardservices@rblbank.com or call us on 022 62327777, should you need further support on your query. Kind Regards, RBL Bank'",b'RBLBankCares',[],9615
2022-02-19 11:02:29+00:00,she/her | 🇵🇭 | btspopper,b'hello been ia the whole day drop a dot if u see this im checking interactions !! https://t.co/T9AG7Kgg0P',b'vkookkisrr',[],803
2022-02-19 11:02:28+00:00,  /rcbyf/  she/her,b'Hello!! https://t.co/0YL5Piej1O',b'Chlyn_kth2',[],1232
2022-02-19 11:02:27+00:00,Pacific Ocean,"b""@meowmrowmeownya hello 911 yes I'd like to report a crime""",b'EyereeeeeN',[],547
2022-02-19 11:02:27+00:00,,"b'Hello \xf0\x9f\x92\x95,Can we spend the weekend together? https://t.co/BQt2fpRqFw'",b'lopezkata7',[],24
2022-02-19 11:02:27+00:00,,b'@LisaWag04624310 Hello',b'Mikwills4190',[],15
2022-02-19 11:02:26+00:00,,b'Hello Donato! How are you?   #ChillWithDONNY #DonnyPangilinan  #DonBelle https://t.co/jP92aPYnRZ',b'eyowmagnesium',"['ChillWithDONNY', 'DonnyPangilinan', 'DonBelle']",351
2022-02-19 11:02:26+00:00,only blink,"b""Hello, @Instagram   We've noticed that #Lisa's Instagram account @.lalalalisa_m has been shadowbanned since january. Its showing abnormal. If this is the case, please look into it and take appropriate action as soon as possible. Thank you!""",b'shoroablackpink',['Lisa'],204
2022-02-19 11:02:26+00:00,London,"b'@cazthebiz Hello Carole, we have thought that through. If you Internet is down you can still control your Hive heating using the thermostat and even the receiver itself. Hope you are keeping safe. Best, ^MY'",b'HiveHomeUK',[],20175
2022-02-19 11:02:25+00:00,,b'@CreateProtocol To the moon @aritaa93  @hello_beautie  #Createprotocol #tothemoon #airdrop  @CreateProtocol',b'Nrikaa93',"['Createprotocol', 'tothemoon', 'airdrop']",57
2022-02-19 11:02:23+00:00,0800 092 0800,"b'Sharon searched &amp; found 25   Mortgage Rates for \xc2\xa3100,000 over 25 years - see the deals here: https://t.co/274b3xiOyg'",b'Mortgage_Shop',[],1968
2022-02-19 11:02:23+00:00,universe,"b""hello team samly &amp; sambernation.  Let's help gin po to be saved from eviction night, please.   BBS GIN""",b'hopetimistic_',[],194
2022-02-19 11:02:23+00:00,23 | she/her ,b'@rxxsika its YOUR birthday month HELLO!?!?!?',b'miim_psd',[],259
