timestamp,location,tweet,username,all_hashtags,followers_count
2022-02-19 10:27:30+00:00,Everywhere,"b'Ron E. plays on the ""To Nate"" album just released, but here\'s where he really takes the stage https://t.co/r3eVdmESaQ'",b'RandulosVisions',[],5827
2022-02-19 10:27:30+00:00,,b'Omg! Thanks E @EianRances for being so appreciative! Creamline/Eians Delight loves you so much! https://t.co/HskCGpxbCu',b'geramie_D',[],264
2022-02-19 10:27:29+00:00,Cape Byron,b'@memorialdevice I\xe2\x80\x99ve returned to this. I\xe2\x80\x99m drawn like it\xe2\x80\x99s 1980. E&amp;M. LOOT. FREEADS. Immerse yourself in Aussie cinema. https://t.co/3OppwNYU3w',b'chariletevez',[],20
2022-02-19 10:27:27+00:00,Paradise,b'@wildidolist Period \xf0\x9f\x98\xb3 The visuals in this group are \xe2\x9c\xa8i n s a n e\xe2\x9c\xa8',b'ChildOfAnAngel',[],346
2022-02-19 10:27:27+00:00,"Arlington, VA",b'@corg_e Dream job where? And congrats how long did it take to get certified',b'MoneySmoking',[],506
2022-02-19 10:27:27+00:00,Abuja F.C.T,b'@TheRealCEOAmber Omo make i go nack this one 200 naira if e enter i go come pay tight',b'Cruiselord_25',[],1577
2022-02-19 10:27:26+00:00,,b'@DJSchemes Lol sooo how ya been holding up?',b'E_isMissAmErica',[],56
2022-02-19 10:27:26+00:00,World Wide,b'@yehona_mohd @yusufjamil_14 @Lovely__NAAZ @Dil_e_Anwar_ @NargisBano_ @RajputMalika @Tarannum1_ @iamrani123 @Qmahi_10 @MeenasSugrive @blueplaneevents follow back',b'blueplaneevents',[],992
2022-02-19 10:27:26+00:00,,b'@yehona_mohd @yusufjamil_14 @Lovely__NAAZ @Dil_e_Anwar_ @NargisBano_ @RajputMalika @Tarannum1_ @iamrani123 @Qmahi_10 @MeenasSugrive Follow and back \xf0\x9f\x8c\x9a\xf0\x9f\xa5\x80',b'BusSsaTi',[],267
2022-02-19 10:27:25+00:00, GMT +8,"b'I\xe2\x80\x99ll be right back, peeps. I still need to edit my P.E video, so that I can pass it early. \xf0\x9f\x98\x85'",b'autumngives_',[],41626
2022-02-19 10:27:24+00:00,Somewhere in Africa,"b""@Hantyaduke Ah, e pain me die. I don delete and unfollow. I'm very petty \xf0\x9f\xa4\xa3""",b'Oyinkisablelips',[],4129
2022-02-19 10:27:24+00:00,Crypto Metaverse,b'@Yakupova_E @TRXSquad @TronixTrx @tronmeebits @trondao @justinsuntron @MikeNerdUK @Mike_Haracz @saylor @ParisHilton @BAYCTron What\xe2\x80\x99s going on? This is unlike you!',b'CryptoMoonPilot',[],55
