timestamp,location,tweet,username,all_hashtags,followers_count
2022-02-19 10:47:58+00:00,Zia She They Minor ,b'@syeonli hi baby \xf0\x9f\xa5\xba\xf0\x9f\xa5\xba',b'skizfruity',[],1573
2022-02-19 10:47:56+00:00,"London, England","b'@WKnightTheatre @DavidJCoates @emmavmartin @BurntLemonTC Hi - I\xe2\x80\x99d love to pop you an email about this, if that\xe2\x80\x99s okay. What address is best! Thank you'",b'AliceElzbthEve',[],414
2022-02-19 10:47:56+00:00,Glasgow,"b""@AndrewF22163173 @StagecoachBBird Hi. The twitter feed isn't active for responses at this time or over weekend unfortunately. They are back in on Monday. They generally tweet out any changes to services.""",b'inquisitor111',[],1005
2022-02-19 10:47:56+00:00,she/her,b'new moots say hi donk\xf0\x9f\x98\xbd\xf0\x9f\x98\xbd',b'zxaledr',[],381
2022-02-19 10:47:55+00:00,"Manchester, United Kingdom","b""@jdec2020 @jdec2020 Hi there. If you haven't already touched-in, I would advise purchasing a ticket through the get me there app for the day. If you have already touched-in, please advise the driver you have paid via Contactless and remember to touch-out. Hope this helps.""",b'MCRMetrolink',[],76783
2022-02-19 10:47:55+00:00,📚 4/13,"b'@nyanyanyaw_ hi, good afternoon!'",b'todaywithacil',[],235
2022-02-19 10:47:55+00:00,Norwich / Lincoln ,"b'@greateranglia hi, will I be able to get from London to Norwich at all today?'",b'JakeAReynolds',[],765
2022-02-19 10:47:55+00:00,"Hambrook, Frenchay & Stapleton","b""@TristanCorkPost @David_on_a_bike @UKLabour @BristolCouncil Hi Tristan, In London those professions make a profit from the scheme. I asked my housemate this in 2006, and he he'd visit 5 companies a day as a surveyor and all were charged the congestion in the bill, his employer only paid it once for each day though.""",b'MakeBristolFair',[],738
2022-02-19 10:47:54+00:00,UK,"b""@MarkCatlin4 Hi Mark, this isn't a number we recognise. Please report spam callers by texting CALL to 7726 and we'll respond by asking for the number calling you. You might want to block the number by using the settings on your phone. More info: https://t.co/SkOKaMtwcY""",b'O2',[],361752
2022-02-19 10:47:54+00:00,Hidden Coochie Village,"b'@chosorific HI MY VACATION IS OVER, FIRST DAY OF TJE SECOND COLLEGE SEMESTER IS IN AN HOUR, I WANNA D!E'",b'EriccTony',[],714
2022-02-19 10:47:54+00:00,- 황현진: She/ her.➡️,b'@cuervodos_ hi lovelove!\xf0\x9f\xa5\xb0',b'_xoxohhj',[],902
2022-02-19 10:47:52+00:00,India,"b'@GopalKu25849207 Hi Gopal, we have responded to you via Direct Message. We request you to check the same. Thank you, Shibani'",b'Airtel_Presence',[],513612
2022-02-19 10:47:52+00:00,"Wales, United Kingdom",b'@wpduk Hi i am very grateful that the power came back shortly after 9pm yesterday. Thank you and best regards to all the engineers battling to repair the power lines .',b'AnnieJo80051383',[],13
2022-02-19 10:47:52+00:00,Metaverse,"b""@SpartansNFT @NFT Hi! I really like your project, we're hosting Giveaways that will give your project great exposure and will boost your followers! Let me know if i can do something for you and your project!\xf0\x9f\x8d\x80""",b'NFT_Moonshots',[],15088
2022-02-19 10:47:50+00:00,,b'@Banuvijaya12 Hi Sweet girl',b'LakiSrecko2',[],0
