timestamp,location,tweet,username,all_hashtags,followers_count
2022-02-19 10:35:53+00:00,"Vancouver, British Columbia",b'@Tjay_sw @Ty_Price_ @ADAMS_APP @OttawaPolice I\xe2\x80\x99ll remember this as I\xe2\x80\x99m flying to Mexico next month lol how oppressed he is\xe2\x80\xa6',b'jelloocean',[],11
2022-02-19 10:35:46+00:00,"𝙀𝖺𝗌𝗍 𝙃𝗂𝗀𝗁𝗅𝖺𝗇𝖽, USA","b""/ i thought i'd make kat have brazilian roots but considering the last name hernandez is OVERWHELMINGLY common in mexico... :)""",b'KlTTYKWEEN',[],228
2022-02-19 10:35:40+00:00,"Germany, Poland","b""@dianneport @haynesdeborah @SecDef Because they are affraid of Russia. Obvious. If Russia was normal, then there would be no big reason to join NATO. Look at Mexico or Bahamas - not in NATO or allied with Russia. They don't have to. They know USA is more or less good neighbor and surely won't do any harm to them.""",b'Maciej_Viking',[],565
2022-02-19 10:35:36+00:00,,"b'Feb. 19 2012: Forty-four inmates died during a riot at a prison in Apodaca, Mexico https://t.co/OaCF5v95pP #10years https://t.co/x1xBNKkYqc'",b'enwikipedia',['10years'],751
2022-02-19 10:35:08+00:00,Toronto,b'Goodbye snowy Toronto and hello sunny #Mexico - see you soon #PV https://t.co/fWwFVFCxZG',b'HiDarchu',"['Mexico', 'PV']",171
2022-02-19 10:35:05+00:00,North Carolina,b'Check out this listing I just added to my #Poshmark closet: Mexico Glass Martini or Cerveza Souvenir Cup. https://t.co/PJA2Y3CG9R #shopmycloset @poshmarkapp',b'heycub',"['Poshmark', 'shopmycloset']",183
2022-02-19 10:34:22+00:00,,"b'@avocadocoin The project is interesting, but the designer of images and infographics you have is very weak) the project should be cool not only ideologically, but also visually#AVDO #Mexico #Solana #Blockchain'",b'Hasi41336494',"['Mexico', 'Solana', 'Blockchain']",2179
2022-02-19 10:33:25+00:00,,"b'Conservative storm over the Bay of Mexico, falling through moments of anxiety. The current prediction must be seen as one element of a much larger system.'",b'fud_bm',[],1
2022-02-19 10:32:17+00:00,"Colorado, USA",b'@TCRG2012 @LopezResists @Starbucks Mexico should put Cruz on their no fly list so next time the power goes out in Texas he can keep his seditious ass at home.',b'liberaldenver',[],2033
2022-02-19 10:30:46+00:00,U.S.A.,"b""What's Shooter Alec Baldwin Doing in the UK Making a Movie When He's Under Investigation in New Mexico? https://t.co/GybGeZoLqA #conservative""",b'ICANFLA',['conservative'],8386
2022-02-19 10:30:14+00:00,"In a #Book, of course!","b""Kindle Unlimited Treasure of the Ant People: The Further Adventures of Charlie Hobbs by James L Rickard https://t.co/nMRbxuhkbq After surviving life in the Wild West, Charlie grows tired of the quiet life and travels to Mexico in search of Pancho Villa's treasure @LiamAnd82987044 https://t.co/ExcDBo4k5C""",b'AllOnFire',[],10848
2022-02-19 10:30:00+00:00,🤔 … Somewhere on Twitter! 😃,b'@BBCWorld Normally you\xe2\x80\x99d take that byline to mean the troops were moving in to prepare for an assault but this is Mexico where Federal troops often work for the cartels. So these troops might actually be \xe2\x80\xa6 just moving in.  \xf0\x9f\x98\xb2\xf0\x9f\xa4\x94\xf0\x9f\x98\x83 https://t.co/LIQViweMtw',b'LilToot62',[],43
2022-02-19 10:29:52+00:00,,b'@krugermacro The CIA is dependent on Mexico to supply the crack and fentanyl they using to control poor people and keep revolution at bay. Need Mexicans as the permanent \xe2\x80\x9cdirty brown foreign bogeyman\xe2\x80\x9d to scare Karens.   Might actually be good for peace as would get all parties to the table.',b'EdCameraHead',[],118
2022-02-19 10:29:28+00:00,,"b'@Dogberr64603238 @gorbalsgoebbels Sorry, but that is a picture of Arthur Albiston for the Mexico World Cup \xe2\x80\x9886 Panini sticker album. An easy mistake to make.....'",b'huggymac',[],72
