timestamp,location,tweet,username,all_hashtags,followers_count
2022-01-09 12:44:20+00:00,,"b""@UNHumanRightsUG @UHRC_UGANDA @GovUganda @KakwenzaRukira @JudiciaryUG @KagutaMuseveni's security agencies: must stop killing innocent Ugandans at night, then in the morning; masquerade as saviors Must watch: https://t.co/TftWciDnYM #Article3UG #RiseupUg #WeAreRemovingADictator  @HouseForeign  @VP @coe  @POTUS  @SenateFloor  @HouseFloor  @SecBlinken""",b'Eli74745345',"['Article3UG', 'RiseupUg', 'WeAreRemovingADictator']",8
2022-01-09 12:44:20+00:00,,b'@UNHumanRightsUG @UHRC_UGANDA @GovUganda @KakwenzaRukira @JudiciaryUG Stop funding terrorism in Uganda. Ugandan security agencies are the number 1 killers of innocent Ugandans  Must watch\xe2\xac\x87\xef\xb8\x8f https://t.co/TftWciDnYM #RiseUpUg #Article3UG #UgandaIsBleeding #FreeAllPoliticalPrisonersinUganda @UN @hrw @EUinUG @amnesty @POTUS @SecBlinken @AtlanticCouncil',b'Eli74745345',"['RiseUpUg', 'Article3UG', 'UgandaIsBleeding', 'FreeAllPoliticalPrisonersinUganda']",8
2022-01-09 12:44:20+00:00,,"b'@1doggie_fanatic @mouthyirishCM @JustClaudia3 @DisavowTrump20 @ProudAFAmerican @POTUS I need to re-evaluate my understanding of the old &amp; Trumpian (Rs) bc I see all (Rs) using the citizenship for gain bc they\xe2\x80\x99re all  racists. Now, maybe, some would believe there are \xe2\x80\x9clevels\xe2\x80\x9d of racism like a continuum. One end is Trumpism while the other is \xe2\x80\x9cI have Black friends\xe2\x80\x9d.'",b'djheadrick',[],175
2022-01-09 12:44:14+00:00,,b'The IC must not look away. The starving children of #Tigray are calling for food and medicine.  #EndTigraySiege #MedicalSupplyForTigray #UNActNow #EUActNow @UN @SecBlinken @POTUS @antonioguterres @EU_Commission @JosepBorrellF https://t.co/TivmznNCqz',b'GebrihetHg',"['Tigray', 'EndTigraySiege', 'MedicalSupplyForTigray', 'UNActNow', 'EUActNow']",1404
2022-01-09 12:44:14+00:00,,"b'@JerusWorld @POTUS @AbiyAhmedAli None of us have the magic bullet , other than a personal opinion. For the sake of the country, I hope ur analysis miss its mark.This is not the first time Abiy\xe2\x80\x99s loyalty &amp; decision raised a red flag among many/'",b'bizuwerk_senaye',[],115
2022-01-09 12:44:11+00:00,,b'@SpeakerPelosi @POTUS Why has only 9% of the 1.9 Trillion in Covid Relief been used on actual Covid Relief? Why have you diverted 2 Billion (meant for testing) to house Illegals ? Why did you divert 16 Million for a Golf Course? You spent billions of it for High Cost Condos!',b'RoadRunner91101',[],38
2022-01-09 12:44:11+00:00,,b'@Franklin_Graham @POTUS You\xe2\x80\x99re absolutely right.',b'He56785033David',[],6
2022-01-09 12:44:08+00:00,,"b'Emboldened by the silence of world leaders, #Ethiopia is starving children of #Tigray to death.  #EndTigraySiege #MedicalSupplyForTigray #UNActNow #EUActNow @UN @SecBlinken @POTUS @antonioguterres @EU_Commission @JosepBorrellF https://t.co/o1p1xS0PFG'",b'GebrihetHg',"['Ethiopia', 'Tigray', 'EndTigraySiege', 'MedicalSupplyForTigray', 'UNActNow', 'EUActNow']",1404
2022-01-09 12:44:02+00:00,,b'#Tigray children are dying due to lack of food and medicine. #EndTigraySiege #MedicalSupplyForTigray #UNActNow #EUActNow @UN @SecBlinken @POTUS @antonioguterres @EU_Commission @JosepBorrellF https://t.co/rQ0FKIkkAg',b'GebrihetHg',"['Tigray', 'EndTigraySiege', 'MedicalSupplyForTigray', 'UNActNow', 'EUActNow']",1404
2022-01-09 12:43:51+00:00,,b'@POTUS @JoeBiden Homer sexuality was probably still illegal back then',b'slavadoraIvanov',[],62
