timestamp,location,tweet,username,all_hashtags,followers_count
2022-01-22 10:35:24+00:00,they/them || 💖💛💙,b'#aimseyspace have some puppies :)) https://t.co/yvC8CtbOMT',b'moonifys_',['aimseyspace'],788
2022-01-22 10:34:48+00:00,My home is girt by sea,b'@gomichild @AndTimos @EPitador @AndTimos precious puppies',b'mryansisland',[],7379
2022-01-22 10:34:39+00:00,"Rural Hall, NC",b'#puppies 3 WAYS TO HELP YOU AND YOUR NEW PUPPY SLEEP #sleep https://t.co/VRQ9T7WWI0 https://t.co/9G8DUIXj1H',b'SptsGuy1',"['puppies', 'sleep']",2404
2022-01-22 10:33:05+00:00,"Lagos, Nigeria","b'approached the elephant questioning, ""Are you sure that you are pregnant? We became pregnant on the same date... I have given birth three times to a dozen puppies and they are now grown to become big dogs, yet you are still pregnant.. something I want you to understand...'",b'oladotunkehind',[],919
2022-01-22 10:32:59+00:00,,"b'@IsobelYeung \xf0\x9f\x91\xb9HBO + VICE reporter Isobel Yeung (Twitter) says her heart is broken by cute \xf0\x9f\x90\xb6puppies waiting to be slaughtered   She then she took a bite and said, ""It\'s delicious!"" \xf0\x9f\xa4\xaf\xf0\x9f\x98\xb1\xf0\x9f\x98\xad https://t.co/154WzzwNWP'",b'Poh7v6066FD673M',[],415
2022-01-22 10:31:49+00:00,heeki thinker . . .💨  ,b'halu puppies \xf0\x9f\x90\xb6 https://t.co/qTMVxXfWbp',b'shineforriki',[],566
2022-01-22 10:30:49+00:00,Outer Space,b'Did you know we have #PacePupper merch? Support puppies by buying from our shop their shirts hats shoes to help save puppies and you can also buy  #Spacegrime merch as well!   https://t.co/OCySKDnmZz  #cryptocrash #cryptocurrency #AVAX #Bitcoin #Ethereum #Binance #Polygon #Solana https://t.co/a1qHPMlWap',b'spacegrime',"['PacePupper', 'Spacegrime', 'cryptocrash', 'cryptocurrency', 'AVAX', 'Bitcoin', 'Ethereum', 'Binance', 'Polygon', 'Solana']",18621
2022-01-22 10:30:28+00:00,Turn on notifs!! ,b'i have a soft spot for them with puppies https://t.co/o3ahGy56gC',b'dailydayatan',[],55
2022-01-22 10:30:09+00:00,"Lagos, Nigeria","b'An elephant and a dog became pregnant at the same time.   Three months later, the dog gave birth to six puppies.   Six months later, the dog was pregnant again, and nine months on, it gave birth to another dozen puppies...And The pattern continued  On the eighteenth month the dog'",b'oladotunkehind',[],919
2022-01-22 10:30:04+00:00,"Columbus, OH","b""You're hellhounds, beings from the Pit, sent to hunt escaped damned souls. Aaaaaaand you got put into the bodies of adorable little puppies! You've got to complete your mission, and without blowing your cover. You are... HECKHOUNDS https://t.co/5l74AcZWMZ""",b'TheOtherTracy',[],3893
